langage,nombre_de_mots,longueur_moyenne,longueur_maximale,longueur_minimale,diversite_binaire_0,diversite_binaire_1,entropie_binaire,distribution_des_longueurs 1,distribution_des_longueurs 2,distribution_des_longueurs 3,distribution_des_longueurs 4,distribution_des_longueurs 5,distribution_des_longueurs 6,distribution_des_longueurs 7,code
01001 0111001 1010 1011 1100 1 10100,7,4.285714285714286,7,1,0.4666666666666667,0.5333333333333333,0.9967916319816366,1,0,0,3,2,0,1,False
10,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
101 0111011 01010 10 1,5,3.6,7,1,0.3888888888888889,0.6111111111111112,0.964078764808229,1,1,1,0,1,0,1,False
110 11111 0000 111 011,5,3.6,5,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,3,1,1,0,0,False
0011 11010 1,3,3.3333333333333335,5,1,0.4,0.6,0.9709505944546686,1,0,0,1,1,0,0,True
11 1111 1 1010,4,2.75,4,1,0.18181818181818182,0.8181818181818182,0.6840384356390417,1,1,0,2,0,0,0,False
11011,1,5.0,5,5,0.2,0.8,0.7219280948873623,0,0,0,0,1,0,0,True
000,1,3.0,3,3,1.0,0.0,-0.0,0,0,1,0,0,0,0,True
101100 0000001 000010,3,6.333333333333333,7,6,0.7368421052631579,0.2631578947368421,0.8314743880097293,0,0,0,0,0,2,1,True
111,1,3.0,3,3,0.0,1.0,-0.0,0,0,1,0,0,0,0,True
1000 01110 1,3,3.3333333333333335,5,1,0.5,0.5,1.0,1,0,0,1,1,0,0,True
00010 110,2,4.0,5,3,0.625,0.375,0.954434002924965,0,0,1,0,1,0,0,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
0 0001001 011000 1111001 00101 001101 1011011,7,5.571428571428571,7,1,0.5128205128205128,0.48717948717948717,0.999525689293649,1,0,0,0,1,2,3,False
10 101110 10011,3,4.333333333333333,6,2,0.38461538461538464,0.6153846153846154,0.9612366047228759,0,1,0,0,1,1,0,True
101 1111011 100011 1 011,5,4.0,7,1,0.3,0.7,0.8812908992306927,1,0,2,0,0,1,1,False
0000010 11000 0 0111 11 001100,6,4.166666666666667,7,1,0.6,0.4,0.9709505944546686,1,1,0,1,1,1,1,False
11111 0001011 000011 10110 1010001 0010001,6,6.166666666666667,7,5,0.5135135135135135,0.4864864864864865,0.9994730201859836,0,0,0,0,2,1,3,True
110 1010,2,3.5,4,3,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,1,1,0,0,0,True
11100 01010 00 1010101 000 1001,6,4.333333333333333,7,2,0.5769230769230769,0.4230769230769231,0.9828586897127056,0,1,1,1,2,0,1,False
001010 11101 111100 10000 10101 0011 01,7,4.714285714285714,6,2,0.48484848484848486,0.5151515151515151,0.9993375041688847,0,1,0,1,3,2,0,True
11110 0001 0 111000,4,4.0,6,1,0.5,0.5,1.0,1,0,0,1,1,1,0,False
10010 0011 0111,3,4.333333333333333,5,4,0.46153846153846156,0.5384615384615384,0.9957274520849255,0,0,0,2,1,0,0,True
011000 0 001 01,4,3.0,6,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,1,1,1,0,0,1,0,False
1110111 000000,2,6.5,7,6,0.5384615384615384,0.46153846153846156,0.9957274520849255,0,0,0,0,0,1,1,True
01101 0100100 01,3,4.666666666666667,7,2,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,1,0,0,1,0,1,True
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
10 100110 0111 0101 0010010 1111001,6,5.0,7,2,0.4666666666666667,0.5333333333333333,0.9967916319816366,0,1,0,2,0,1,2,True
001,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
10 0100 101000 10011,4,4.25,6,2,0.5882352941176471,0.4117647058823529,0.9774178175281716,0,1,0,1,1,1,0,True
00,1,2.0,2,2,1.0,0.0,-0.0,0,1,0,0,0,0,0,True
11011 110 0101 001011,4,4.5,6,3,0.3888888888888889,0.6111111111111112,0.964078764808229,0,0,1,1,1,1,0,True
110011,1,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,1,0,True
0 111100,2,3.5,6,1,0.42857142857142855,0.5714285714285714,0.9852281360342515,1,0,0,0,0,1,0,True
101111,1,6.0,6,6,0.16666666666666666,0.8333333333333334,0.6500224216483541,0,0,0,0,0,1,0,True
1110110 0010110 110 0000,4,5.25,7,3,0.5238095238095238,0.47619047619047616,0.998363672593813,0,0,1,1,0,0,2,True
1110001 1000101 0111 0011111 1010001 00101,6,6.166666666666667,7,4,0.4594594594594595,0.5405405405405406,0.9952525494396791,0,0,0,1,1,0,4,True
101 01100,2,4.0,5,3,0.5,0.5,1.0,0,0,1,0,1,0,0,True
