langage,nombre_de_mots,longueur_moyenne,longueur_maximale,longueur_minimale,diversite_binaire_0,diversite_binaire_1,entropie_binaire,distribution_des_longueurs 1,distribution_des_longueurs 2,distribution_des_longueurs 3,distribution_des_longueurs 4,distribution_des_longueurs 5,distribution_des_longueurs 6,distribution_des_longueurs 7,code
1011100 101010 0011,3,5.666666666666667,7,4,0.47058823529411764,0.5294117647058824,0.9975025463691153,0,0,0,1,0,1,1,True
010,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
10 1,2,1.5,2,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,1,0,0,0,0,0,True
000000,1,6.0,6,6,1.0,0.0,-0.0,0,0,0,0,0,1,0,True
0000100 10011 10110 0111010,4,6.0,7,5,0.5416666666666666,0.4583333333333333,0.9949848281859701,0,0,0,0,2,0,2,True
100101 0001 1000 00111 10011 0100 00,7,4.285714285714286,6,2,0.6,0.4,0.9709505944546686,0,1,0,3,2,1,0,False
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
1 10010 100001 0,4,3.25,6,1,0.6153846153846154,0.38461538461538464,0.9612366047228759,2,0,0,0,1,1,0,False
1 0110000 0,3,3.0,7,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,2,0,0,0,0,0,1,False
10 000011 1000,3,4.0,6,2,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,1,0,1,0,1,0,True
00110 01100 1 000001,4,4.25,6,1,0.6470588235294118,0.35294117647058826,0.9366673818775626,1,0,0,0,2,1,0,True
11110 1111 1 00011,4,3.75,5,1,0.26666666666666666,0.7333333333333333,0.8366407419411672,1,0,0,1,2,0,0,False
1 0 01000,3,2.3333333333333335,5,1,0.7142857142857143,0.2857142857142857,0.863120568566631,2,0,0,0,1,0,0,False
1 1010,2,2.5,4,1,0.4,0.6,0.9709505944546686,1,0,0,1,0,0,0,True
011001,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
